x,y,theta,steer,speed
5.08747,0.00387918,0.0929742,0.788797,5.0385e-07
5.08747,0.00387918,0.0929742,0.788797,4.42308e-07
5.08747,0.00387919,0.0929743,0.788797,3.88283e-07
5.08747,0.00387919,0.0929743,0.788797,3.40857e-07
5.08747,0.00387919,0.0929743,0.788797,2.99223e-07
5.08747,0.00387919,0.0929743,0.788797,2.62675e-07
5.08747,0.00387919,0.0929744,0.788797,2.30591e-07
5.08747,0.0038792,0.0929744,0.788797,2.02426e-07
5.08747,0.0038792,0.0929744,0.788797,1.77701e-07
5.08747,0.0038792,0.0929744,0.788797,1.55996e-07
5.08747,0.0038792,0.0929744,0.788797,1.36942e-07
5.08747,0.0038792,0.0929744,0.788797,1.20215e-07
5.08747,0.0038792,0.0929744,0.788797,1.05532e-07
5.08747,0.0038792,0.0929744,0.788797,9.26419e-08
5.08747,0.0038792,0.0929744,0.788797,8.13263e-08
5.08747,0.0038792,0.0929745,0.788797,7.13928e-08
5.08747,0.0038792,0.0929745,0.788797,6.26726e-08
5.08747,0.0038792,0.0929745,0.788797,5.50176e-08
5.08747,0.0038792,0.0929745,0.788797,4.82975e-08
5.08747,0.0038792,0.0929745,0.788797,4.23983e-08
5.08747,0.0038792,0.0929745,0.788797,3.72196e-08
5.08747,0.0038792,0.0929745,0.788797,3.26735e-08
5.08747,0.0038792,0.0929745,0.788797,2.86826e-08
5.08747,0.0038792,0.0929745,0.788797,2.51792e-08
5.08747,0.00387921,0.0929745,0.788797,2.21038e-08
5.08747,0.00387921,0.0929745,0.788797,1.94039e-08
5.08747,0.00387921,0.0929745,0.788797,1.70339e-08
5.08747,0.00387921,0.0929745,0.788797,1.49533e-08
5.08747,0.00387921,0.0929745,0.788797,1.31268e-08
5.08747,0.00387921,0.0929745,0.788797,1.15235e-08
5.08747,0.00387921,0.0929745,0.788797,1.0116e-08
5.08747,0.00387921,0.0929745,0.788797,8.88037e-09
5.08747,0.00387921,0.0929745,0.788797,7.79569e-09
5.08747,0.00387921,0.0929745,0.788797,6.84349e-09
5.08747,0.00387921,0.0929745,0.788797,6.00761e-09
5.08747,0.00387921,0.0929745,0.788797,5.27382e-09
5.08747,0.00387921,0.0929745,0.788797,4.62965e-09
5.08747,0.00387921,0.0929745,0.788797,4.06417e-09
5.08747,0.00387921,0.0929745,0.788797,3.56776e-09
5.08747,0.00387921,0.0929745,0.788797,3.13198e-09
5.08747,0.00387921,0.0929745,0.788797,2.74943e-09
5.08747,0.00387921,0.0929745,0.788797,2.4136e-09
5.08747,0.00387921,0.0929745,0.788797,2.1188e-09
5.08747,0.00387921,0.0929745,0.788797,1.86e-09
5.08747,0.00387921,0.0929745,0.788797,1.63281e-09
5.08747,0.00387921,0.0929745,0.788797,1.43338e-09
5.08747,0.00387921,0.0929745,0.788797,1.2583e-09
5.08747,0.00387921,0.0929745,0.788797,1.10461e-09
5.08747,0.00387921,0.0929745,0.788797,9.69685e-10
5.08747,0.00387921,0.0929745,0.788797,8.51244e-10
5.08747,0.00387921,0.0929745,0.788797,7.47271e-10
5.08747,0.00387921,0.0929745,0.788797,6.55997e-10
5.08747,0.00387921,0.0929745,0.788797,5.75871e-10
5.08747,0.00387921,0.0929745,0.788797,5.05531e-10
5.08747,0.00387921,0.0929745,0.788797,4.43784e-10
5.08747,0.00387921,0.0929745,0.788797,3.89579e-10
5.08747,0.00387921,0.0929745,0.788797,3.41994e-10
5.08747,0.00387921,0.0929745,0.788797,3.00222e-10
5.08747,0.00387921,0.0929745,0.788797,2.63552e-10
5.08747,0.00387921,0.0929745,0.788797,2.3136e-10
5.08747,0.00387921,0.0929745,0.788797,2.03101e-10
5.08747,0.00387921,0.0929745,0.788797,1.78294e-10
5.08747,0.00387921,0.0929745,0.788797,1.56517e-10
5.08747,0.00387921,0.0929745,0.788797,1.37399e-10
5.08747,0.00387921,0.0929745,0.788797,1.20617e-10
5.08747,0.00387921,0.0929745,0.788797,1.05884e-10
5.08747,0.00387921,0.0929745,0.788797,9.29511e-11
5.08747,0.00387921,0.0929745,0.788797,8.15976e-11
5.08747,0.00387921,0.0929745,0.788797,7.1631e-11
5.08747,0.00387921,0.0929745,0.788797,6.28812e-11
5.08747,0.00387921,0.0929745,0.788797,5.52016e-11
5.08747,0.00387921,0.0929745,0.788797,4.84586e-11
5.08747,0.00387921,0.0929745,0.788797,4.25396e-11
5.08747,0.00387921,0.0929745,0.788797,3.73441e-11
5.08747,0.00387921,0.0929745,0.788797,3.27826e-11
5.08747,0.00387921,0.0929745,0.788797,2.87782e-11
5.08747,0.00387921,0.0929745,0.788797,2.52632e-11
5.08747,0.00387921,0.0929745,0.788797,2.21776e-11
5.08747,0.00387921,0.0929745,0.788797,1.94685e-11
5.08747,0.00387921,0.0929745,0.788797,1.70906e-11
5.08747,0.00387921,0.0929745,0.788797,1.50031e-11
5.08747,0.00387921,0.0929745,0.788797,1.31704e-11
5.08747,0.00387921,0.0929745,0.788797,1.15619e-11
5.08747,0.00387921,0.0929745,0.788797,1.01497e-11
5.08747,0.00387921,0.0929745,0.788797,8.91039e-12
5.08747,0.00387921,0.0929745,0.788797,7.82155e-12
5.08747,0.00387921,0.0929745,0.788797,6.86599e-12
5.08747,0.00387921,0.0929745,0.788797,6.02758e-12
5.08747,0.00387921,0.0929745,0.788797,5.29111e-12
5.08747,0.00387921,0.0929745,0.788797,4.64528e-12
5.08747,0.00387921,0.0929745,0.788797,4.07754e-12
5.08747,0.00387921,0.0929745,0.788797,3.5795e-12
5.08747,0.00387921,0.0929745,0.788797,3.14224e-12
5.08747,0.00387921,0.0929745,0.788797,2.75866e-12
5.08747,0.00387921,0.0929745,0.788797,2.42143e-12
5.08747,0.00387921,0.0929745,0.788797,2.12594e-12
5.08747,0.00387921,0.0929745,0.788797,1.8665e-12
5.08747,0.00387921,0.0929745,0.788797,1.63837e-12
5.08747,0.00387921,0.0929745,0.788797,1.43812e-12
5.08747,0.00387921,0.0929745,0.788797,1.26264e-12
5.08747,0.00387921,0.0929745,0.788797,1.10878e-12
5.08747,0.00387921,0.0929745,0.788797,9.72726e-13
5.08747,0.00387921,0.0929745,0.788797,8.53909e-13
